internal_name,common_name
char_EX-TYRANOMON,ExTyrannomon
char_LUNAMON,Lunamon
char_LEKISMON,Lekismon
char_CRESCEMON,Crescemon
char_GOLEMON,Golemon
char_SKULLSATAMON,SkullSatamon
char_HAGURUMON,Hagurumon
char_MERAMON,Meramon
char_AIRDRAMON,Airdramon
char_GARURUMON,Garurumon
char_BAKEMON,Bakemon
char_STARMON,Starmon
char_AQUILAMON,Aquilamon
char_STRIKEDRAMON,Strikedramon
char_MINOTAURMON,Minotarumon
char_DORUGORAMON,Dorugoramon
char_TYUMON,Chuumon
char_WHAMON,Whamon
char_DINOBEEMON,Dinobeemon
char_MARINEANGEMON,MarineAngemon
char_RAPTORDRAMON,Raptordramon
char_GRADEMON,Grademon
char_WARGREYMON,WarGreymon
char_BIGMAMEMON,BigMamemon
char_SANGLOUPMON,Sangloupmon
char_MATADRMON,Matadormon
char_GRANDDRACUMON,GranDracmon
char_TRICERAMON,Triceramon
char_LILITHMON,Lilithmon
char_BEELZEBUMON,Beelzemon
char_BARBAMON,Barbamon
char_LEVIAMON,Leviamon
char_DEMON,Creepymon
char_LUCEMON_FM,Lucemon CM
char_BELPHEMON_RM,Belphemon RM
char_PANDAMON,Pandamon
char_FUNBEEMON,FunBeemon
char_BLACKTAILMON,BlackGatomon
char_CATCHMAMEMON,CatchMamemon
char_CHRONOMON,Chronomon HM
char_CHRONOMON_DESTROY,Chronomon DM
char_MEGIDRAMON,Megidramon
char_GODDRAMON,Goldramon
char_BANCHOLEOMON,BanchoLeomon
char_AGUMON,Agumon
char_GAWAPPAMON,Gawappamon
char_KAMEMON,Kamemon
char_KUDAMON,Kudamon
char_GEOGREYMON,GeoGreymon
char_GAOMON,Gaomon
char_LALAMON,Lalamon
char_ROSEMON,Rosemon
char_SUNFLOWMON,Sunflowmon
char_VOLCAMON,Volcanomon
char_PILEVOLCAMON,PileVolcanomon
char_MONZAEMON,Monzaemon
char_GAOGAMON,Gaogamon
char_PLATINUMNUMEMON,PlatinumNumemon
char_NUMEMON,Numemon
char_RIZEGREYMON,RizeGreymon
char_LEOMON,Leomon
char_LILAMON,Lilamon
char_MACHGAOGAMON,MachGaogamon
char_NEPTUNEMON,Neptunemon
char_SHAWUJINMON,Shaujinmon
char_REPPAMON,Reppamon
char_GROWMON,Growlmon
char_SUPERSTARMON,SuperStarmon
char_MERCURYMON,Merukimon
char_IMPMON,Impmon
char_HIPPOGRIFFOMON,HippoGryphonmon
char_GRIFFOMON,Gryphonmon
char_TYILINMON,Chirinmon
char_VAMDEMON,Myotismon
char_SLEIPMON,Kentaurosmon
char_ANGEMON,Angemon
char_OMEGAMON,Omnimon
char_GUILMON,Guilmon
char_STINGMON,Stingmon
char_TAILMON,Gatomon
char_DEVIMON,Devimon
char_SHINEGREYMON,ShineGreymon
char_MIRAGEGAOGAMON,MirageGaogamon
char_PATAMON,Patamon
char_PICODEVIMON,DemiDevimon
char_JUMBOGAMEMON,JumboGamemon
char_WENDIMON,Wendigomon
char_HOLYANGEMON,MagnaAngemon
char_TURUIEMON,Turuiemon
char_GANIMON,Crabmon
char_SUSANOOMON,Susanomon
char_DUKEMON_CM,Gallantmon CM
char_ARMAGEMON,Armageddemon
char_LADYDEVIMON,LadyDevimon
char_GOBURIMON,Goblimon
char_DORUMON,Dorumon
char_GOLDNUMEMON,GoldNumemon
char_V-MON,Veemon
char_BAOHUCKMON,BaoHuckmon
char_SAVIORHUCKMON,SaviorHuckmon
char_VALDURMON,Varodurumon
char_CHAOSMONVALDURARM,Chaosmon: Valdur Arm
char_DUKEMON,Gallantmon
char_KINGETEMON,KingEtemon
char_TYRANTKABUTERIMON,TyrantKabuterimon
char_DAGOMON,Dragomon
char_COELAMON,Coelamon
char_MEGASEADRAMON,MegaSeadramon
char_WARUSEADRAMON,WaruSeadramon
char_MEGAGROWLMON,WarGrowlmon
char_METALGARURUMON,MetalGarurumon
char_CORONAMON,Coronamon
char_FIRAMON,Firamon
char_FLAREMON,Flaremon
char_LIGHDRAMON,Lighdramon
char_WEREGARURUMON,WereGarurumon
char_HOLSMON,Halsemon
char_SHURIMON,Shurimon
char_DIGMON,Digmon
char_SABMARIMON,Submarimon
char_PEGASMON,Pegasusmon
